coaster,park,location,status,inversions,speed,height,length,G-Force,manufacturer
Fast Coaster,Kok Tobe,"Almaty, Almaty, Kazakhstan",In Storage,,,,"2,099.8",,Wiegand
Rakevet Harim,Luna Park Tel Aviv,"Tel Aviv, Tel Aviv, Israel",Operating,,,,"1,099.1",,Vekoma
Hurricane,Fun Spot America,"Kissimmee, Florida, United States",Operating,,,52.0,"1,300.0",,E&F Miler Industries
Matterhorn Mining Company,Edaville Family Theme Park,"Carver, Massachusetts, United States",Defunct,,,,,,Zamperla
Spinning Coaster,Parque de la Selva,"León, Guanajuato, Mexico",Operating,,,,,,Jinma Rides
